TIPO_ACTIVIDAD;SECC._TARIFA;EPIGRAFE;DESCRIPCION;NUMERO
EMPRESARIAL;1;011;EXPLOTACION_EXTENSIVA_GANADO_BOVINO;9
EMPRESARIAL;1;012;EXPLOTAC._INTENSI.GANADO_BOVINO_DE_LECHE;3
EMPRESARIAL;1;013;EXPLOT.INTENSIVA_GANADO_BOVINO_DE_CEBO;8
EMPRESARIAL;1;022;EXPLOT.INTENSIV.GANADO_OVINO_DE_CRIA;1
EMPRESARIAL;1;023;EXPLOTAC.INTENSIVA_GANADO_OVINO_DE_CEBO;2
EMPRESARIAL;1;0412;PONEDORAS_HUEVOS_A_PARTIR_CUATRO_MESES;5
EMPRESARIAL;1;051;CUNICULTURA;1
EMPRESARIAL;1;061;EXPLOT.GANADO_CABALLAR;4
EMPRESARIAL;1;062;APICULTURA;1
EMPRESARIAL;1;069;OTRAS_EXPLOTACIONES_GANADERAS;3
EMPRESARIAL;1;071;EXPLOTACIONES_MIXTAS;31
EMPRESARIAL;1;1111;EXTRACCION_Y_PREPARACION_DE_HULLA;11
LOCAL_AFECTO;1;1111;EXTRACCION_Y_PREPARACION_DE_HULLA;1
EMPRESARIAL;1;1113;PREPARAC._HULLA_FACTORIA_INDEPENDIENTE;1
EMPRESARIAL;1;1121;EXTRACC._Y_PREPARACION_DE_ANTRACITA;1
LOCAL_AFECTO;1;130;REFINO_DE_PETROLEO;1
EMPRESARIAL;1;1511;PRODUCCION_DE_ENERGIA_HIDROELECTRICA;1
EMPRESARIAL;1;1512;PRODUCCION_ENERGIA_TERMOELECTRICA;1
EMPRESARIAL;1;1514;OTRAS_PRODUCCIONES_DE_ENERGIA;54
LOCAL_AFECTO;1;1514;OTRAS_PRODUCCIONES_DE_ENERGIA;3
EMPRESARIAL;1;1515;TTE._Y_DISTRIBUCION_DE_ELECTRICIDAD;1
EMPRESARIAL;1;152;FABRICACION_Y_DISTRIBUCION_DE_GAS;2
LOCAL_AFECTO;1;152;FABRICACION_Y_DISTRIBUCION_DE_GAS;1
EMPRESARIAL;1;153;PRODUCC._Y_DISTRIB._VAPOR_Y_AGUA_CALIENT;1
EMPRESARIAL;1;1611;CAPTACION_TRATAMIENTO_Y_DISTR._DE_AGUA;6
LOCAL_AFECTO;1;1611;CAPTACION_TRATAMIENTO_Y_DISTR._DE_AGUA;2
EMPRESARIAL;1;1612;CAPTACION_DE_AGUA_PARA_SU_SUMINISTRO;2
EMPRESARIAL;1;1613;TRATAMIENTO_DEL_AGUA_PARA_SU_SUMINISTRO;2
EMPRESARIAL;1;1614;DISTRIBUCION_DE_AGUA_EN_NUCLEOS_URBANOS;4
EMPRESARIAL;1;162;FABRICACION_DE_HIELO_PARA_LA_VENTA;2
EMPRESARIAL;1;221;SIDERURGIA_INTEGRAL;9
LOCAL_AFECTO;1;221;SIDERURGIA_INTEGRAL;25
EMPRESARIAL;1;222;SIDERURGIA_NO_INTEGRAL;1
EMPRESARIAL;1;223;FABRICACION_DE_TUBOS_DE_ACERO;1
EMPRESARIAL;1;224;TREFILADO;2
EMPRESARIAL;1;2251;PROD._Y_PRIM._TRANSFORMACION_ALUMINIO;3
EMPRESARIAL;1;2259;PROD._Y_PRIM._TRANSF._OTROS_METALES;2
EMPRESARIAL;1;2313;EXTRACC._ARENAS_Y_GRAVAS_CONSTRUCCION;2
LOCAL_AFECTO;1;2313;EXTRACC._ARENAS_Y_GRAVAS_CONSTRUCCION;1
EMPRESARIAL;1;2391;EXTRACCION_DE_FLUORITA;2
LOCAL_AFECTO;1;2421;FAB._CEMENTOS_ARTIFICIALES;3
EMPRESARIAL;1;2431;FAB._HORMIGONES_PREPARADOS;7
EMPRESARIAL;1;2432;FAB._PTOS._EN_FIBROCEMENTO;1
EMPRESARIAL;1;2433;FAB._OTROS_ARTICULOS_DERIVADOS_CEMENTO;4
EMPRESARIAL;1;2434;FAB._PAVIMENTOS_DERIVADOS_DEL_CEMENTO;1
EMPRESARIAL;1;244;INDUSTRIAS_DE_LA_PIEDRA_NATURAL;12
LOCAL_AFECTO;1;244;INDUSTRIAS_DE_LA_PIEDRA_NATURAL;1
EMPRESARIAL;1;2461;FAB._VIDRIO_PLANO;1
EMPRESARIAL;1;2465;MANIPULADO_DE_VIDRIO;11
LOCAL_AFECTO;1;2465;MANIPULADO_DE_VIDRIO;2
EMPRESARIAL;1;2471;FAB._ARTICULOS_REFRACTARIOS;2
LOCAL_AFECTO;1;2471;FAB._ARTICULOS_REFRACTARIOS;2
EMPRESARIAL;1;2472;FAB._BALDOSAS_PARA_PAVIMENTOS;1
EMPRESARIAL;1;2474;FAB._VAJILLAS_Y_ARTICULOS_PARA_EL_HOGAR;2
LOCAL_AFECTO;1;2474;FAB._VAJILLAS_Y_ARTICULOS_PARA_EL_HOGAR;1
EMPRESARIAL;1;2479;FAB._OTROS_PTOS._CERAMICOS_NCOP;5
LOCAL_AFECTO;1;2479;FAB._OTROS_PTOS._CERAMICOS_NCOP;1
EMPRESARIAL;1;249;IND._OTROS_PTOS._MINERALES_NO_MET.;4
EMPRESARIAL;1;2513;FAB._PTOS._QUIMICOS_INORGANICOS;2
EMPRESARIAL;1;2521;FAB._DE_ABONOS;1
EMPRESARIAL;1;2531;FAB._GASES_COMPRIMIDOS;3
EMPRESARIAL;1;2533;FAB._PINTURAS;1
EMPRESARIAL;1;2539;FAB._OTROS_PTOS._QUIMICOS_USO_INDUSTRIAL;1
EMPRESARIAL;1;2542;FAB._ESPECIALIDADES_FARMACEUTICAS;1
EMPRESARIAL;1;2551;FAB._JABONES_COMUNES;4
EMPRESARIAL;1;2552;FAB._JABONES_TOCADOR_Y_PTOS._PERFUMERIA;1
EMPRESARIAL;1;2559;FAB._OTROS_PTOS._QUIMICOS_DE_CONSUMO;1
EMPRESARIAL;1;3111;FUNDICION_PIEZAS_DE_HIERRO_Y_ACERO;1
EMPRESARIAL;1;3112;FUNDICION_PIEZAS_METALES_NO_FERREOS;3
EMPRESARIAL;1;312;FORJA;20
LOCAL_AFECTO;1;312;FORJA;1
EMPRESARIAL;1;313;TRATAMIENTO_Y_RECUBRIMIENTO_DE_METALES;29
LOCAL_AFECTO;1;313;TRATAMIENTO_Y_RECUBRIMIENTO_DE_METALES;3
EMPRESARIAL;1;3141;FAB._ART._CARPINTERIA_METALICA;87
LOCAL_AFECTO;1;3141;FAB._ART._CARPINTERIA_METALICA;7
EMPRESARIAL;1;3142;FAB._ESTRUCTURAS_METALICAS;44
LOCAL_AFECTO;1;3142;FAB._ESTRUCTURAS_METALICAS;1
EMPRESARIAL;1;315;CONSTRUCC._DEPOSITOS_Y_CALDERERIA;17
LOCAL_AFECTO;1;315;CONSTRUCC._DEPOSITOS_Y_CALDERERIA;2
EMPRESARIAL;1;3161;FAB._HERRAMIENTAS_MANUALES;4
EMPRESARIAL;1;3162;FAB._ARTICULOS_DE_FERRETERIA/CERRAJERIA;15
LOCAL_AFECTO;1;3162;FAB._ARTICULOS_DE_FERRETERIA/CERRAJERIA;1
EMPRESARIAL;1;3163;TORNILLERIA_Y_ART._DERIVADOS_ALAMBRE;10
LOCAL_AFECTO;1;3163;TORNILLERIA_Y_ART._DERIVADOS_ALAMBRE;1
EMPRESARIAL;1;3164;FAB._ART._MENAJE;1
LOCAL_AFECTO;1;3164;FAB._ART._MENAJE;1
EMPRESARIAL;1;3166;FAB._MOBILIARIO_METALICO;8
EMPRESARIAL;1;3167;FAB._RECIPIENTES_Y_ENVASES_METALICOS;8
LOCAL_AFECTO;1;3167;FAB._RECIPIENTES_Y_ENVASES_METALICOS;1
EMPRESARIAL;1;3169;OTROS_ART._ACABADOS_EN_METALES_NCOP;23
LOCAL_AFECTO;1;3169;OTROS_ART._ACABADOS_EN_METALES_NCOP;2
EMPRESARIAL;1;3191;TALLERES_DE_MECANICA_EN_GENERAL;29
EMPRESARIAL;1;3199;TALLERES_MECANICOS_NCOP;16
EMPRESARIAL;1;3211;CONSTRUCC._MAQ._AGRICOLAS;1
EMPRESARIAL;1;3221;CONS._MAQUINAS_PARA_TRABAJAR_METALES;4
EMPRESARIAL;1;3223;FAB.UTILES_PARA_MAQUINAS_HERRAMIENTAS;3
EMPRESARIAL;1;3241;MAQUINAS_IND._ALIMENT.;1
EMPRESARIAL;1;3251;CONST.MAQ._MINERIA_Y_CONSTRUCCION;2
EMPRESARIAL;1;3252;CONST._MAQUINAS_IND._MINERALES_NO_METAL;1
EMPRESARIAL;1;3253;CONST._MAQ._PARA_SIDERURGIA_Y_FUNDICION;2
EMPRESARIAL;1;3254;CONST._MAQ._ELEVACION_Y_MANIPULACION;6
LOCAL_AFECTO;1;3254;CONST._MAQ._ELEVACION_Y_MANIPULACION;1
EMPRESARIAL;1;3294;CONST._MAQ._MANIPULACION_DE_FLUIDOS;4
EMPRESARIAL;1;3299;CONST._OTRAS_MAQ._Y_EQUIPOS_NCOP;10
LOCAL_AFECTO;1;3299;CONST._OTRAS_MAQ._Y_EQUIPOS_NCOP;2
EMPRESARIAL;1;330;CONS.MAQ.DE_OFICINA_Y_ORDENADORES;35
EMPRESARIAL;1;342;FAB.MATERIAL_ELECTRICO_DE_USO_Y_EQUIP.;16
LOCAL_AFECTO;1;342;FAB.MATERIAL_ELECTRICO_DE_USO_Y_EQUIP.;1
EMPRESARIAL;1;344;FAB._CONTADORES_Y_APARATOS_DE_MEDIDA;1
EMPRESARIAL;1;345;FAB._APARATOS_ELECTRODOMESTICOS;4
LOCAL_AFECTO;1;345;FAB._APARATOS_ELECTRODOMESTICOS;1
EMPRESARIAL;1;346;FAB._LAMPARAS_Y_MATERIAL_DE_ALUMBRADO;11
LOCAL_AFECTO;1;346;FAB._LAMPARAS_Y_MATERIAL_DE_ALUMBRADO;1
EMPRESARIAL;1;352;FAB._APARATOS_USO_PROFESIONAL_CIENTIFICO;3
EMPRESARIAL;1;353;FAB.APARAT.SEÑALIZACION;3
EMPRESARIAL;1;3552;EDICION_SOPORTES_AUDIO;14
EMPRESARIAL;1;362;CONSTRUCC._CARROCERIAS;6
EMPRESARIAL;1;363;FAB.EQUIPO;4
LOCAL_AFECTO;1;363;FAB.EQUIPO;1
EMPRESARIAL;1;371;CONSTRUCCION_NAVAL;5
LOCAL_AFECTO;1;371;CONSTRUCCION_NAVAL;1
EMPRESARIAL;1;372;REPARACION_Y_MANTENIMIENTO_DE_BUQUES;10
EMPRESARIAL;1;381;CONST.REPARAC.MANTENIM._FERROCARRILES;4
EMPRESARIAL;1;382;CONSTRUCC.REPARACION;1
EMPRESARIAL;1;383;CONSTR._MOTOS_Y_BICIS;6
EMPRESARIAL;1;391;FAB.INSTRUM._PRECISION;2
EMPRESARIAL;1;3921;FAB._MATERIAL_MEDICO-QUIRURGICO;4
EMPRESARIAL;1;3922;FAB._APARATOS_PROTESIS_Y_ORTOPEDIA;46
EMPRESARIAL;1;4112;FAB._ACEITE_DE_OLIVA;1
EMPRESARIAL;1;4131;SACRIFICIO_Y_DESPIECE_DE_GANADO;1
EMPRESARIAL;1;4132;FAB.PTOS.CARNICOS_DE_TODAS_CLASES;6
EMPRESARIAL;1;4141;PREPARACION_DE_LECHE;2
LOCAL_AFECTO;1;4143;FAB._QUESO_Y_MANTEQUILLA;2
EMPRESARIAL;1;4144;ELABORACION_DE_HELADOS_Y_SIMILARES;5
EMPRESARIAL;1;415;FAB._JUGOS_Y_CONSERVAS_VEGETALES;6
LOCAL_AFECTO;1;415;FAB._JUGOS_Y_CONSERVAS_VEGETALES;3
EMPRESARIAL;1;416;FAB._CONSERVAS_PESCADO;8
EMPRESARIAL;1;4171;FAB._HARINAS_Y_SEMOLAS;4
EMPRESARIAL;1;4181;FAB._PASTAS_ALIMENTICIAS;1
EMPRESARIAL;1;4191;INDUSTRIA_DEL_PAN_Y_BOLLERIA;68
LOCAL_AFECTO;1;4191;INDUSTRIA_DEL_PAN_Y_BOLLERIA;3
EMPRESARIAL;1;4192;INDUST._BOLLERIA_Y_PASTELERIA;20
LOCAL_AFECTO;1;4192;INDUST._BOLLERIA_Y_PASTELERIA;1
EMPRESARIAL;1;4193;INDUST._ELABORACION_MASAS_FRITAS;1
EMPRESARIAL;1;4211;INDUSTRIA_CACAO_Y_CHOCOLATE;7
EMPRESARIAL;1;4212;ELABORACION_PTOS._CONFITERIA;13
LOCAL_AFECTO;1;4212;ELABORACION_PTOS._CONFITERIA;1
EMPRESARIAL;1;4222;HARINAS_PESCADO_Y_OTROS_PTOS._PIENSOS;2
EMPRESARIAL;1;4231;ELAB._CAFE;3
EMPRESARIAL;1;4239;ELAB._OTROS_PTOS._ALIMENTICIOS_NCOP;11
EMPRESARIAL;1;4243;OBTENC._AGUARDIENTES_COMPUESTOS;1
EMPRESARIAL;1;4251;ELABORACION_Y_CRIANZA_DE_VINOS;5
EMPRESARIAL;1;4252;ELABORACION_DE_VINOS_ESPUMOSOS;1
EMPRESARIAL;1;426;SIDRERIAS;28
EMPRESARIAL;1;4282;FAB._AGUAS_GASEOSAS_Y_OTRAS_BEBIDAS_SIN;2
EMPRESARIAL;1;4292;PRIMERA_TRANSFORMACION_TABACO;1
EMPRESARIAL;1;434;INDUSTRIA_DE_LAS_FIBRAS_DURAS_Y_MEZCLAS;1
EMPRESARIAL;1;4351;FAB._GENEROS_DE_PUNTO_EN_PIEZA;1
EMPRESARIAL;1;4354;FAB._PRENDAS_EXTERIORES_DE_PUNTO;1
EMPRESARIAL;1;436;ACABADO_DE_TEXTILES;3
EMPRESARIAL;1;4371;FAB._ALFOMBRAS_Y_TAPICES;2
EMPRESARIAL;1;4391;CORDELERIA;1
EMPRESARIAL;1;4421;FAB.ART._MARROQUINERIA_Y_VIAJE;1
EMPRESARIAL;1;4422;FAB._GUANTES_DE_PIEL;1
EMPRESARIAL;1;4429;FAB._OTROS_ARTICULOS_DE_CUERO_NCOP;3
EMPRESARIAL;1;452;FAB._CALZADO_ARTESANIA_Y_A_MEDIDA;4
EMPRESARIAL;1;453;CONFECC._TODA_CLASE_PRENDAS_VESTIR;38
LOCAL_AFECTO;1;453;CONFECC._TODA_CLASE_PRENDAS_VESTIR;2
EMPRESARIAL;1;454;CONFECC._MEDIDA_PRENDAS_VESTIR;34
EMPRESARIAL;1;4551;CONFECC._ART._TEXTILES_HOGAR/TAPICERIA;22
LOCAL_AFECTO;1;4551;CONFECC._ART._TEXTILES_HOGAR/TAPICERIA;2
EMPRESARIAL;1;4559;CONFECC._OTROS_ART._TEXTILES_NCOP;8
EMPRESARIAL;1;4561;PELETERIA_NATURAL;1
EMPRESARIAL;1;461;ASERRADO_Y_PREP._INDUSTRIAL_DE_LA_MADERA;6
EMPRESARIAL;1;4621;CHAPAS_DE_MADERA;1
EMPRESARIAL;1;4623;TABLEROS_Y_PANELES;1
EMPRESARIAL;1;463;FAB._SERIE_PIEZAS_DE_CARPINTERIA;35
LOCAL_AFECTO;1;463;FAB._SERIE_PIEZAS_DE_CARPINTERIA;3
EMPRESARIAL;1;464;FAB._ENVASES_Y_EMBALAJES_DE_MADERA;2
EMPRESARIAL;1;465;FAB._OBJETOS_DIVERSOS_DE_MADERA;22
LOCAL_AFECTO;1;465;FAB._OBJETOS_DIVERSOS_DE_MADERA;1
EMPRESARIAL;1;4681;FAB._MOBILIARIO_DE_MADERA_PARA_EL_HOGAR;57
LOCAL_AFECTO;1;4681;FAB._MOBILIARIO_DE_MADERA_PARA_EL_HOGAR;1
EMPRESARIAL;1;4682;FAB._MOBILIARIO_MADERA_ESCOLAR_Y_OFICINA;3
EMPRESARIAL;1;4683;FAB._MUEBLES_DIV._MADERA;11
EMPRESARIAL;1;4684;FAB._ATAUDES;1
EMPRESARIAL;1;4685;ACTIV._ANEXAS_IND._MUEBLE;25
EMPRESARIAL;1;471;FAB._PASTA_PAPELERA;1
LOCAL_AFECTO;1;471;FAB._PASTA_PAPELERA;1
EMPRESARIAL;1;4732;FAB._OTROS_ART._Y_ENVASES_PAPEL_Y_CARTON;6
LOCAL_AFECTO;1;4732;FAB._OTROS_ART._Y_ENVASES_PAPEL_Y_CARTON;1
EMPRESARIAL;1;4733;FAB._ART._OFICINA;2
